RASTERVALU,count,0_mean,1_mean,2_mean,3_mean,4_mean,5_mean
1,157,0.22158789179127686,0.0005515517702527847,0.7467127028544238,0.030690259994215256,0.0004575935898313089,0.0
2,537,0.09150085591293135,0.000322942183226402,0.8146245519542161,0.09152521456642078,0.002009592464738273,1.6842918467033147e-05
3,1292,0.2212212654090149,0.02328907225523201,0.32745919950975355,0.4230232593075779,0.004969765158260569,3.743836016108723e-05
4,777,0.18569896702907568,0.005964144162996697,0.2501413499986803,0.49557574160464174,0.06210338440334168,0.0005164128012638739
5,135,0.33591800265842015,0.0009998745388454854,0.24304162484628183,0.41849517822265625,0.0015453197337962949,0.0
7,4005,0.45366651556465065,0.017577747816450138,0.2892715911293744,0.22976808393195028,0.009686530752574904,2.9530804999609662e-05
8,952,0.7374896682611033,0.00794126206085461,0.07130436536644685,0.1787700412654075,0.0044929320070923855,1.7310390953255252e-06
9,362,0.7183944638921411,0.0037270540690553726,0.17849309931802487,0.09649048062319253,0.0028949020975861097,0.0
10,2,1.0,0.0,0.0,0.0,0.0,0.0
